qualified_id,cohort,artifact_sha256,parameter_id,direction,ordinal,tensor_index,tensor_name,dtype,shape,shape_signature,quantization_status,scheme,granularity,scales,zero_points,quantized_dimension,contract_sha256
litert-modern-static-int8/expanded-densenet169-tv-in1k,litert-modern-static-int8,c17dbe0e71d98e01951f029a6777822ad90af570afdcb92a831255340fa6fd04,output:0:T343,output,0,343,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.09312402456998825],[-66],0,c5ae6998886d3758839d773177003d2d3db4baef03a85468e460f0ac5bf043ca
litert-modern-static-int8/expanded-densenet201-tv-in1k,litert-modern-static-int8,b1bdbf97fa7f5b53c180c7538d650cf47678ca7e8bfc9f9809b63d9b9ed22799,input:0:T1123,input,0,1123,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017942840233445168],[-14],0,11c57599b4e9bf98d31ed65ad1a2039b28866528b1516fcc07c28a0fd565d2aa
litert-modern-static-int8/expanded-densenet201-tv-in1k,litert-modern-static-int8,b1bdbf97fa7f5b53c180c7538d650cf47678ca7e8bfc9f9809b63d9b9ed22799,output:0:T407,output,0,407,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.08615352213382721],[-66],0,8ae482cb71484a17190d0301e7b705d27b1a352828db7afd3a92ada4ead275de
litert-modern-static-int8/expanded-mobilenet-v2,litert-modern-static-int8,6b92681ad122c19f14d7556a028e6ece72891759e27b19ac3df97768ef4dd716,input:0:T184,input,0,184,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017623191699385643],[-14],0,dd2065aa81c6462a0d6ee3c30c886c2a0602932991c8d8049562cbfaf7621041
litert-modern-static-int8/expanded-mobilenet-v2,litert-modern-static-int8,6b92681ad122c19f14d7556a028e6ece72891759e27b19ac3df97768ef4dd716,output:0:T127,output,0,127,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.034059230238199234],[-75],0,13e2ed5b0b40bd03ce0c9fc3b1c05c61d756da3672ef8c90c252efc7d6ebeafc
litert-modern-static-int8/expanded-mobilenet-v3-large,litert-modern-static-int8,620a6b6431790233dee4d726f49a9a83b3303e65a50787475c3ebc5e74f55b7c,input:0:T286,input,0,286,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017623191699385643],[-14],0,dd2065aa81c6462a0d6ee3c30c886c2a0602932991c8d8049562cbfaf7621041
litert-modern-static-int8/expanded-mobilenet-v3-large,litert-modern-static-int8,620a6b6431790233dee4d726f49a9a83b3303e65a50787475c3ebc5e74f55b7c,output:0:T158,output,0,158,g0::linear_1,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.04168519750237465],[-69],0,19b97dde193a846ed3e95d9bdbd9abdf07a07a383529a5351f7cefad81a6c969
litert-modern-static-int8/expanded-mobilenet-v3-small,litert-modern-static-int8,b07b0db7ecce321db4c6b729f035c76d3ea5df9ccb1e5f0535af5a4ad2325efd,input:0:T256,input,0,256,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017623191699385643],[-14],0,dd2065aa81c6462a0d6ee3c30c886c2a0602932991c8d8049562cbfaf7621041
litert-modern-static-int8/expanded-mobilenet-v3-small,litert-modern-static-int8,b07b0db7ecce321db4c6b729f035c76d3ea5df9ccb1e5f0535af5a4ad2325efd,output:0:T138,output,0,138,g0::linear_1,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.09926129877567291],[-4],0,00dab52e5b0baea8f8ddebdaa625c272edda96bbd7c3a956d5ed4f80ef267674
litert-modern-static-int8/expanded-regnetx-004-tv-tv2-in1k,litert-modern-static-int8,87d4fb3fc27d02e19c25365d32676a6b62b113f2c347c190205d023f89b4c51d,input:0:T2511,input,0,2511,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017972450703382492],[-14],0,fd7d6cda44ec28d95f523a7b32e590aa95045cd08df611a70628a7426080a5f1
litert-modern-static-int8/expanded-regnetx-004-tv-tv2-in1k,litert-modern-static-int8,87d4fb3fc27d02e19c25365d32676a6b62b113f2c347c190205d023f89b4c51d,output:0:T2390,output,0,2390,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.030380157753825188],[-78],0,d7bb2de82c8434f913a8c78dbf0347500439470e7b46c45308c52df4703ddc71
litert-modern-static-int8/expanded-regnetx-008-tv2-in1k,litert-modern-static-int8,86c3436c7988e90a15f95e21a76553dadf4f93b5c83d367a5719f89ff9d2de66,input:0:T2361,input,0,2361,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017972450703382492],[-14],0,fd7d6cda44ec28d95f523a7b32e590aa95045cd08df611a70628a7426080a5f1
litert-modern-static-int8/expanded-regnetx-008-tv2-in1k,litert-modern-static-int8,86c3436c7988e90a15f95e21a76553dadf4f93b5c83d367a5719f89ff9d2de66,output:0:T2270,output,0,2270,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.0289138350635767],[-82],0,3f4d3b0f5db98a4b81cea31b36a052354dcfd0b24c4b3d77542147519204e496
litert-modern-static-int8/expanded-regnetx-016-tv2-in1k,litert-modern-static-int8,9b417b9cb8a8ff382ac9cc0428840a4f397e61142ee11020994cf818a64d2f5c,input:0:T1875,input,0,1875,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017972450703382492],[-14],0,fd7d6cda44ec28d95f523a7b32e590aa95045cd08df611a70628a7426080a5f1
litert-modern-static-int8/expanded-regnetx-016-tv2-in1k,litert-modern-static-int8,9b417b9cb8a8ff382ac9cc0428840a4f397e61142ee11020994cf818a64d2f5c,output:0:T1774,output,0,1774,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.030595190823078156],[-85],0,78adc9e0e78ddef54ae9ce4cb26672cd5b8741a07cf9e12507b501c6973e0a7c
litert-modern-static-int8/expanded-regnetx-032-tv2-in1k,litert-modern-static-int8,e40544aff44244ff6577021690d5fe5596c4375c1f386988f345d31deb9d2642,input:0:T1488,input,0,1488,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017972450703382492],[-14],0,fd7d6cda44ec28d95f523a7b32e590aa95045cd08df611a70628a7426080a5f1
litert-modern-static-int8/expanded-regnetx-032-tv2-in1k,litert-modern-static-int8,e40544aff44244ff6577021690d5fe5596c4375c1f386988f345d31deb9d2642,output:0:T1352,output,0,1352,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.03723960742354393],[-89],0,8aea7e33fd4f0841686958875df7e38316efc121ef455e52bdcd13e11798f605
litert-modern-static-int8/expanded-regnetx-080-tv2-in1k,litert-modern-static-int8,d76d68e2ebdf867a34924eb1a27685b1bbd7eb5c0d959559cc3b239c740e2026,input:0:T938,input,0,938,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017972450703382492],[-14],0,fd7d6cda44ec28d95f523a7b32e590aa95045cd08df611a70628a7426080a5f1
litert-modern-static-int8/expanded-regnetx-080-tv2-in1k,litert-modern-static-int8,d76d68e2ebdf867a34924eb1a27685b1bbd7eb5c0d959559cc3b239c740e2026,output:0:T810,output,0,810,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.03868645429611206],[-98],0,2736bf8a4d442b8e898c247b51d9bea5a6a09030d4437b8b845287713aa7c4d2
litert-modern-static-int8/expanded-regnetx-160-tv2-in1k,litert-modern-static-int8,58537895ce4fd18504af40d3b3456de9d52227e4f42b6e53d8ac4ebe8ab036ae,input:0:T1041,input,0,1041,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017972450703382492],[-14],0,fd7d6cda44ec28d95f523a7b32e590aa95045cd08df611a70628a7426080a5f1
