format,study_design,artifact_count,external_parameter_count,complete_affine_external_parameter_count,not_quantized_external_parameter_count,claim_boundary
TFLite,curated_benchmark,50,114,62,52,Criterion-based corpus; not a prevalence estimate.
ONNX,targeted_pilot,15,39,0,39,Targeted pilot; not a prevalence estimate.
